,ticker,industry,sector,volatility_5d,mean_price
236,MNRF,Property & Construction,Property Fund & REITs,0.017275998185876315,0.1716127662449212
237,MODERN,Consumer Products,Home & Office Products,0.000902934537246014,0.09588922619202066
238,MONO,Services,Media & Publishing,0.008465608465608473,0.13840742767945827
239,MPIC,Services,Media & Publishing,0.019366136914191343,0.22701982342162247
240,MSC,Technology,Information & Communication Technology,0.006185580158543338,0.6703626301327451
241,MTI,Financials,Insurance,0.0,0.13398189173569638
242,NC,Consumer Products,Fashion,0.0,0.16484218208356138
243,NCH,Property & Construction,Property Development,0.002259887005649719,0.07344632768361582
244,NEP,Industrials,Packaging,0.04403577065677623,0.06513409961685823
245,NEW,Services,Health Care Services,0.0026143790849673994,0.4093606791375554
246,NEX,Technology,Electronic Components,0.001476014760147581,0.3730895929648952
247,NFC,Industrials,Petrochemicals & Chemicals,0.00011816158913570473,0.010581957774931476
248,NKI,Financials,Insurance,0.0,0.530599168500856
249,NNCL,Property & Construction,Property Development,0.00872352457977475,0.6527942925089181
250,NOBLE,Property & Construction,Property Development,0.0042780748663101284,0.5244432151125863
251,NOK,Services,Transportation & Logistics,0.00398397185533025,0.03639545056867892
252,NSI,Financials,Insurance,0.00186046511627902,0.26212242715851386
253,NTV,Services,Health Care Services,0.0024660912453761345,0.7257064028610438
254,NUSA,ERROR,ERROR,0.0031007751937984327,0.1421485639609136
255,NWR,Property & Construction,Construction Services,0.002332847374079209,0.13964604999087757
256,NYT,Services,Transportation & Logistics,0.0025889967637540644,0.14373395826358665
257,OCC,Consumer Products,Personal Products & Pharmaceuticals,0.02857142857142847,0.3415891260718847
258,OGC,Consumer Products,Home & Office Products,0.005605239686002677,0.17760418036595738
259,OHTL,Services,Tourism & Leisure,1.3877787807814457e-17,0.08042192895321888
260,OISHI,Agro & Food Industry,Food & Beverage,0.01832064540477796,0.35820292664912523
261,PAF,Consumer Products,Fashion,0.0015983619855028893,0.03963923421649698
262,PAP,Industrials,Steel,0.0026666666666666787,0.1062452107279693
263,PATO,Industrials,Petrochemicals & Chemicals,0.0,0.27571657209369993
264,PB,Agro & Food Industry,Food & Beverage,0.003711348095126024,0.6805120167189133
265,PDI,Resources,Energy & Utilities,0.0033402922755740856,0.1356353834217199
266,PDJ,Consumer Products,Fashion,0.008182011666916685,0.06345435493804939
267,PERM,Industrials,Steel,0.0018604651162790837,0.12445870088211711
268,PF,Property & Construction,Property Development,0.013799942212862955,0.1399816523663051
269,PG,Consumer Products,Fashion,0.011766614549463702,0.040488282990287804
270,PK,Industrials,Industrial Materials & Machinery,0.0016978672000904096,0.21653938131605344
271,PL,Financials,Finance & Securities,0.0037396789966155997,0.19955543856570437
272,PLE,Property & Construction,Construction Services,0.0062407381981737006,0.2215389120726262
273,PM,Agro & Food Industry,Food & Beverage,0.014999999999999958,0.22516762452107275
274,POPF,Property & Construction,Property Fund & REITs,0.005242463958060207,0.2783577630145173
275,POST,Services,Media & Publishing,0.01214165261382798,0.07023834906605157
276,PPP,Property & Construction,Construction Materials,0.0,0.07151665772355428
277,PPPM,Agro & Food Industry,Agribusiness,0.006358996581071498,0.09693452593431176
278,PRAKIT,Services,Media & Publishing,0.012806830309498451,0.15431985181368754
279,PREB,Property & Construction,Construction Services,0.004733313512624493,0.39048994021507755
280,PRECHA,Property & Construction,Property Development,0.005254937514814456,0.1187947128513431
281,PRG,Agro & Food Industry,Food & Beverage,0.0,0.4921818370094232
282,PRIME,Resources,Energy & Utilities,0.0,0.08440641834471234
283,PRIN,ERROR,ERROR,0.007099970268936697,0.30418124271197733
284,PRINC,Services,Health Care Services,0.0035242290748899174,0.4881934950292843
285,PSH,Property & Construction,Property Development,0.0035714285714285587,0.16562328954570335
286,PSL,Services,Transportation & Logistics,0.023125588251511082,0.19623804717093765
287,PT,Technology,Information & Communication Technology,0.015648417560434023,0.44893378226711567
288,PTG,Resources,Energy & Utilities,0.00133288903698765,0.4107966565423275
289,PTL,Industrials,Packaging,0.003012048192771033,0.6607118127683148
290,PTT,Resources,Energy & Utilities,0.0062807429302133636,0.6842469790745653
291,PTTEP,Resources,Energy & Utilities,0.001906217698663945,0.6440508669141434
292,PTTGC,Industrials,Petrochemicals & Chemicals,0.00344827586206895,0.27828973444312327
293,PYLON,Property & Construction,Construction Services,0.00625,0.5196240421455939
294,QCON,ERROR,ERROR,0.011842105263157876,0.14461711030449692
295,QH,ERROR,ERROR,0.004494382022471922,0.4687674889147187
296,QHHR,ERROR,ERROR,0.012903225806451644,0.3677542948955631
297,QHOP,ERROR,ERROR,0.013674977077774613,0.22794681090827132
298,QHPF,Property & Construction,Property Fund & REITs,0.005594405594405583,0.755378720895962
299,RAM,Services,Health Care Services,0.014625935722671676,0.6619025069238166
300,RATCH,Resources,Energy & Utilities,0.028155224455715177,0.5235999021765712
301,RCI,ERROR,ERROR,0.005966561622959223,0.4867888382852598
302,RCL,Services,Transportation & Logistics,1.3877787807814457e-17,0.08129743746631118
303,RML,Property & Construction,Property Development,0.00597014925373136,0.17401498255847195
304,ROCK,Consumer Products,Home & Office Products,0.0,0.1485958051901884
305,ROH,Services,Tourism & Leisure,0.1211191123700989,0.6195682646481638
306,ROJNA,Property & Construction,Property Development,0.00735582505340288,0.19199084141612877
307,RPC,Resources,Energy & Utilities,0.0017814470856605048,0.07984674329501917
308,RS,ERROR,ERROR,0.0,0.36117952928297753
309,S&J,ERROR,ERROR,0.017418593726458268,0.7728905917411664
310,S,Property & Construction,Property Development,0.002460317255208978,0.18929143023424994
311,SABINA,Consumer Products,Fashion,0.04550135745108069,0.3172959443910655
312,SAM,Industrials,Steel,0.0,0.04785425225807447
313,SAMART,Technology,Information & Communication Technology,0.0025548784800867408,0.04469820717629015
314,SAMCO,Property & Construction,Property Development,0.0007766990291262044,0.023300970873786422
315,SAMTEL,Technology,Information & Communication Technology,0.0073059360730593674,0.09549677216186431
316,SAT,Industrials,Automotive,0.007536891516255906,0.4648099027409372
317,SAUCE,Agro & Food Industry,Food & Beverage,0.0,0.18558757151104835
318,SAWANG,ERROR,ERROR,0.0,0.054186314962177
319,SBPF,ERROR,ERROR,0.0,0.08578090005152768
320,SC,Property & Construction,Property Development,0.004756290762685889,0.2763084477178885
321,SCB,Financials,Banking,0.006407639444884923,0.2260536398467433
322,SCC,Property & Construction,Construction Materials,0.012907255755789389,0.4040777230432402
323,SCCC,Property & Construction,Construction Materials,0.003125854725901611,0.12679323084781474
324,SCG,Resources,Energy & Utilities,0.01837117307087388,0.11762452107279696
325,SCP,Property & Construction,Construction Materials,0.0028368794326240738,0.22586342762424927
326,SDC,Technology,Information & Communication Technology,0.002116402116402116,0.03212106468811451
327,SEED,ERROR,ERROR,0.001590457256461253,0.19122811026560943
328,SEAFCO,Property & Construction,Construction Services,0.022746673965339227,0.7179046573865496
329,SENA,Property & Construction,Property Development,0.0030188679245283017,0.7976722330658571
330,SF,Property & Construction,Property Development,0.004023802452210619,0.6234432407341846
331,SFP,Agro & Food Industry,Food & Beverage,0.0,0.1056430945675065
332,SGP,Resources,Energy & Utilities,0.005509194529910076,0.4223170064212957
333,SHANG,Services,Tourism & Leisure,0.002298850574712663,0.7697626282644119
334,SIAM,Consumer Products,Home & Office Products,0.003711348095126024,0.14318472077092764
335,SINGER,Services,Commerce,0.005977194054837138,0.10971764172132112
336,SIRI,Property & Construction,Property Development,0.009035079029052515,0.19288451012588942
337,SIS,Technology,Information & Communication Technology,0.011820330969267179,0.6924902403014412
338,SITHAI,Industrials,Packaging,0.0016194331983805598,0.18223277025454881
339,SKR,ERROR,ERROR,0.00504731861198745,0.7106010611939035
340,SMIT,Industrials,Steel,0.008594700851870826,0.5007192310277608
341,SMK,Financials,Insurance,0.0038035555012161633,0.22548249684681465
342,SMPC,Industrials,Packaging,0.0,0.42580730141563716
343,SMT,Technology,Electronic Components,0.005628655857667711,0.112273326326677
344,SNC,Industrials,Industrial Materials & Machinery,0.00499895865874124,0.33626554069903836
345,SNP,Agro & Food Industry,Food & Beverage,0.0034744535358627233,0.17276704437379423
346,SOLAR,Resources,Energy & Utilities,0.0005753352302485465,0.028219301975553623
347,SORKON,Agro & Food Industry,Food & Beverage,0.011391127488845304,0.3770002253775074
348,SPACK,Industrials,Packaging,0.0,0.21729390681003585
349,SPALI,Property & Construction,Property Development,0.01632176877493428,0.5819625759781644
350,SPC,Services,Commerce,0.005697797585888984,0.7269683476580027
351,SPCG,Resources,Energy & Utilities,0.004616463737472081,0.16746371339877492
352,SPF,Property & Construction,Property Fund & REITs,0.0,0.6807406389766607
353,SPG,Industrials,Automotive,0.0,0.03382371010801695
354,SPI,Services,Commerce,0.025974025974025927,0.7518597303080061
355,SRICHA,Property & Construction,Construction Services,0.0015097009200513009,0.06815082443369995
356,SSC,Agro & Food Industry,Food & Beverage,0.0011764705882352901,0.03807752986251974
357,SSF,Agro & Food Industry,Food & Beverage,0.03178807947019867,0.13668772677678823
358,SSPF,ERROR,ERROR,1.1102230246251565e-16,0.8660632835509683
359,SSSC,Industrials,Steel,0.006760523936052485,0.15363429396412903
360,SST,Agro & Food Industry,Food & Beverage,0.003967487530245474,0.048299977607000416
361,STA,Agro & Food Industry,Agribusiness,0.004602991944764145,0.14418519547284284
362,STANLY,Industrials,Automotive,0.008670560438431701,0.3982822715036533
363,STARK,ERROR,ERROR,0.032900432900432895,0.6234429682705546
364,STEC,Property & Construction,Construction Services,0.017109636068219653,0.5691335618740337
365,STPI,Property & Construction,Construction Services,0.003766921718658022,0.15535620457379706
366,SUC,Consumer Products,Fashion,0.006896551724137901,0.710001321178491
367,SUPER,Resources,Energy & Utilities,0.00224723829613137,0.19285387887096214
368,SUSCO,Resources,Energy & Utilities,0.01632993161855457,0.24287994891443168
369,SVH,Services,Health Care Services,0.019375813030897717,0.9025399000279111
370,SVI,Technology,Electronic Components,0.015601845495434362,0.42100446591990615
371,SVOA,Technology,Information & Communication Technology,0.005555555555555536,0.11145700297999155
372,SYMC,Technology,Information & Communication Technology,0.0010519395134779756,0.09413296858036026
373,SYNEX,Technology,Information & Communication Technology,0.0,0.5814947273525259
374,SYNTEC,Property & Construction,Construction Services,0.0018417216111151849,0.2551781753233659
375,TASCO,Property & Construction,Construction Materials,0.002069857697283317,0.36717173970151623
376,TBSP,Services,Media & Publishing,0.028282828282828198,0.12272146754905373
377,TC,Agro & Food Industry,Food & Beverage,0.006142920985036175,0.20442234473150056
378,TCAP,Financials,Banking,0.030357865537616466,0.8372720306513409
379,TCC,Resources,Energy & Utilities,0.005723579475417879,0.04660113382222917
380,TCCC,Industrials,Petrochemicals & Chemicals,0.0,0.08939637481171464
381,TCJ,Industrials,Industrial Materials & Machinery,0.0016877637130801703,0.0885881953537999
382,TCMC,Property & Construction,Construction Materials,0.0013513513513513594,0.30807963135549343
383,TCOAT,ERROR,ERROR,0.00486618004866175,0.4544844366138099
384,TEAM,Technology,Electronic Components,0.004080358271185016,0.06025213199851687
385,TFI,Industrials,Packaging,0.0,0.07574417919245507
386,TGPRO,Industrials,Steel,0.0,0.03196143863552096
387,TH,Services,Media & Publishing,0.0,0.05595387124919391
388,THAI,Services,Transportation & Logistics,0.008080808080808088,0.14509075428615656
389,THANI,Financials,Finance & Securities,0.017760602247136523,0.785785503320353
390,THCOM,Technology,Information & Communication Technology,0.0005154639175257715,0.05159181577596082
391,THE,Industrials,Steel,0.007689665666686902,0.11608901431637117
392,THIP,Industrials,Packaging,0.0020202020202020328,0.2867080769379621
393,THRE,Financials,Insurance,0.0015073783032511921,0.05881520778072503
394,THREL,Financials,Insurance,0.0016663195529137283,0.10529361169755261
395,TIF1,ERROR,ERROR,0.006557377049180247,0.7485082595314363
396,TIP,Financials,Insurance,0.005379959650302524,0.63541755237602
397,TIPCO,Agro & Food Industry,Food & Beverage,0.0,0.14210492519103576
398,TISCO,Financials,Banking,0.0057347670250896595,0.839327648003955
399,TIW,Industrials,Steel,0.026331246601319046,0.2829391089579177
400,TK,Financials,Finance & Securities,0.011720046616187463,0.14627215897633317
401,TKS,Services,Media & Publishing,0.021684251977215505,0.3197857793018776
402,TKT,Industrials,Automotive,0.002846975088967962,0.15722447198701955
403,TLGF,ERROR,ERROR,0.032170769075008536,0.6864447086801427
404,TMB,Financials,Banking,0.004938271604938206,0.2518802327231445
405,TMD,Industrials,Packaging,0.0,0.7635163899531715
406,TMT,Industrials,Steel,0.0,0.280022093576083
407,TNITY,Financials,Finance & Securities,0.0062111801242235925,0.30471668927441026
408,TNL,Consumer Products,Fashion,0.003149606299212682,0.1634537062177572
409,TNPC,Industrials,Automotive,0.0064281881264853374,0.16649973768302573
410,TNPF,Property & Construction,Property Fund & REITs,0.0014845392380504205,0.07330779054916989
411,TOG,Consumer Products,Personal Products & Pharmaceuticals,0.001244167962674947,0.2642486429154526
412,TOP,Resources,Energy & Utilities,0.007284727859578208,0.39418023330342267
413,TOPP,Industrials,Packaging,0.0,0.522030651340996
414,TPA,Industrials,Petrochemicals & Chemicals,0.0031811555101079973,0.12118724187689704
415,TPCORP,ERROR,ERROR,0.013445378151260545,0.24387456131878027
416,TPIPL,Property & Construction,Construction Materials,0.006225680933852163,0.29416938742042725
417,TPOLY,Property & Construction,Construction Services,0.001862902892588158,0.1909614657570576
418,TPP,Industrials,Packaging,0.0028776978417266227,0.07822707351360292
419,TR,Consumer Products,Fashion,0.002525252525252508,0.35809241843724604
420,TRC,Property & Construction,Construction Services,0.002040816326530614,0.059973414653217615
421,TRITN,Property & Construction,Construction Services,0.011594202898550733,0.23221722472097286
422,TRU,Industrials,Automotive,0.01076698788036558,0.4342553997726411
423,TRUBB,Agro & Food Industry,Agribusiness,0.00489897948556636,0.34473180076628357
424,TRUE,Technology,Information & Communication Technology,0.002353016083365201,0.10809308762205509
425,TSC,Industrials,Automotive,0.02055251510037958,0.3047138047138046
426,TSI,Financials,Insurance,0.054264459174357155,0.30156308276540195
427,TSTE,Services,Transportation & Logistics,0.0,0.39203986349266173
428,TSTH,Industrials,Steel,0.0,0.25484248616432525
429,TTA,Services,Transportation & Logistics,0.0030911901081916767,0.04954589509298245
430,TTCL,Property & Construction,Construction Services,0.0020699913319294433,0.06731423020883925
431,TTI,Consumer Products,Fashion,0.0,0.28949450006179694
432,TTLPF,ERROR,ERROR,0.012907255755789248,0.33923684416295274
433,TTW,Resources,Energy & Utilities,0.007476635514018781,0.758011959752211
434,TUPF,ERROR,ERROR,0.0012433958085193834,0.10698796118015444
435,TU,Agro & Food Industry,Food & Beverage,0.007414272474513428,0.39422056040252956
436,TVI,Financials,Insurance,0.005588189527261943,0.1799309470739916
437,TVO,Agro & Food Industry,Food & Beverage,0.008163265306122458,0.3424818203143326
438,TWP,Industrials,Steel,0.002783511071344545,0.155183298502264
439,TWZ,Technology,Information & Communication Technology,0.0,0.032891246684350145
440,TYCN,Industrials,Steel,0.0029850746268656357,0.16349288042545893
441,U,Property & Construction,Property Development,0.004206096113566053,0.08997000207906382
442,UAC,Industrials,Petrochemicals & Chemicals,0.0,0.05578501371412714
443,UMI,Property & Construction,Construction Materials,0.0036939821555429446,0.041346028962919674
444,UNIQ,Property & Construction,Construction Services,0.015092358242656683,0.24523669567968118
445,UOBKH,Financials,Finance & Securities,0.006362311020216104,0.42533711499228755
446,UP,Industrials,Petrochemicals & Chemicals,0.008303355060281938,0.22020261055912724
447,UPF,Consumer Products,Fashion,0.0,0.31182477430812494
448,UPOIC,Agro & Food Industry,Agribusiness,0.012193393038270425,0.12761496572133627
449,URBNPF,Property & Construction,Property Fund & REITs,0.030959752321981424,0.3633085418075276
450,UT,Consumer Products,Fashion,0.0,0.5765219242230735
451,UTP,Industrials,Paper & Printing Materials,0.01021391879066167,0.7755883962780513
452,UV,Property & Construction,Property Development,0.009779951100244499,0.16221697627144052
453,UVAN,ERROR,ERROR,0.012698412698412754,0.06662409535972753
454,VARO,Industrials,Industrial Materials & Machinery,0.0,0.2534036012296882
455,VGI,Services,Media & Publishing,0.019773556802114442,0.8302670822023389
456,VIBHA,Services,Health Care Services,0.004015556955382251,0.4596601972237924
457,VIH,Services,Health Care Services,0.007169238271560528,0.2740491542846463
458,VNG,Property & Construction,Construction Materials,0.0,0.18214859600814023
459,VNT,Industrials,Petrochemicals & Chemicals,0.008719180403507009,0.5662906864324846
460,W,Technology,Electronic Components,0.0,0.006404757820094929
461,WACOAL,Consumer Products,Fashion,0.057367603287560014,0.35136353391931496
462,WAVE,Services,Media & Publishing,0.0022946039745041506,0.04728705124408909
463,WG,ERROR,ERROR,0.0,0.677831062393748
464,WHA,Property & Construction,Property Development,0.03404255319148943,0.8262236662823602
465,WIIK,Property & Construction,Construction Materials,0.001797752808988773,0.13601102070687507
466,WIN,Property & Construction,Property Development,0.01014078590407879,0.11704147926036983
467,WORK,Services,Media & Publishing,0.0016168249127281628,0.09676120868791861
468,ZMICO,Financials,Finance & Securities,0.00733944954128441,0.2618721220429541
