,ISIN,RIC,name,symbol
297,TH0182A10Z03,TH:MK,MK REAL ESTATE DEV.,MK
298,TH0785A10Z04,TH:ML,MIDA LEASING,ML
299,TH1000010005,TH:MNIT2,NICHADA THANI PROPERTY 2,MNIT2
300,TH0852010006,TH:MNIT,MFC-NICHADA THANI PROPERTY,MNIT
301,TH0983010008,TH:MNRF,MULTI-NATIONAL RESIDENCE,MNRF
302,TH0291B10Z00,TH:MODERN,MODERNFORM GROUP,MODERN
303,TH4546010000,TH:MONO,MONO TECHNOLOGY,MONO
304,TH0672010Z06,TH:MPIC,M PICTURES ENTERTAINMENT,MPIC
305,TH0569010Z04,TH:MSC,METRO SYSTEMS,MSC
306,TH6068010Y02,TH:MTC,MUANGTHAI CAPITAL ORS,MTC
307,TH0985010006,TH:MTI,MUANG THAI INSURANCE,MTI
308,TH0024010009,TH:NC,NEW CITY (BANGKOK),NC
309,TH0769010Z00,TH:NCH,NC HOUSING,NCH
310,TH0086010Z09,TH:NEP,NEP REALTY & IND.,NEP
311,TH8798010006,TH:NER,NORTH EAST RUBBERS,NER
312,TH0575010002,TH:NEW,WATTANA KARNPAET,NEW
313,TH0825010Y01,TH:NEX,NEX POINT,NEX
314,TH0586D10Z02,TH:NFC,NFC,NFC
315,TH0199010008,TH:NKI,NAVAKIJ INSURANCE,NKI
316,TH0702010Z01,TH:NNCL,NAVANAKORN,NNCL
317,TH0564A10Z01,TH:NOBLE,NOBLE DEVELOPMENT,NOBLE
318,TH4601010002,TH:NOK,NOK AIRLINES,NOK
319,TH0464010006,TH:NSI,NAM SENG INSURANCE,NSI
320,TH0421010Z08,TH:NTV,NONTHAVEJ HOSPITAL,NTV
321,TH0305B10Z04,TH:NUSA,NUSASIRI,NUSA
322,TH6502010Y00,TH:NVD,NIRVANA DAII ORS,NVD
323,TH0526A10Z08,TH:NWR,NAWARAT PATANAKARN,NWR
324,TH5008010Z08,TH:NYT,NAMYONG TERMINAL,NYT
325,TH0091010Z09,TH:OCC,OCC,OCC
326,TH0360010001,TH:OGC,OCEAN GLASS,OGC
327,TH0115A10Z05,TH:OHTL,OHTL,OHTL
328,TH0789010Z08,TH:OISHI,OISHI GROUP,OISHI
329,TH6789010001,TH:ORI,ORIGIN PROPERTY,ORI
330,TH8752010000,TH:OSP,OSOTSPA,OSP
331,TH0112A10Z08,TH:PAF,PAN ASIA FOOTWEAR,PAF
332,TH0805A10Z00,TH:PAP,PACIFIC PIPE,PAP
333,TH0532010Z02,TH:PATO,PATO CHEMICAL IND.,PATO
334,TH0687010Z04,TH:PB,PRESIDENT BAKERY,PB
335,TH5306010Z06,TH:PCSGH,PCS MACHINE GPHD.,PCSGH
336,TH0088010002,TH:PDI,PADAENG INDUSTRY,PDI
337,TH0192010Z05,TH:PDJ,PRANDA JEWELRY,PDJ
338,TH0849010002,TH:PERM,PERMSIN STEEL WORKS,PERM
339,TH0352A10Z07,TH:PF,PROPERTY PERFECT,PF
340,TH0126010Z03,TH:PG,PEOPLE'S GARMENT,PG
341,TH0299010Z08,TH:PK,PATKOL,PK
342,TH0599010Z01,TH:PL,PHATRA LEASING,PL
343,TH6253010008,TH:PLANB,PLAN B MEDIA,PLANB
344,TH6329010008,TH:PLAT,THE PLATINUM GROUP,PLAT
345,TH0685010Z08,TH:PLE,POWER LINE ENGR.,PLE
346,TH0977010Z09,TH:PM,PREMIER MARKETING,PM
347,TH6252010009,TH:PMTA,PM THORESEN ASIA HDG.,PMTA
348,TH1060010002,TH:POPF,PRI.OFFE.LH.PPF. REIT,POPF
349,TH8306010001,TH:PORT,SAHATHAI TERMINAL,PORT
350,TH0078010Y07,TH:POST,BANGKOK POST ORS,POST
351,TH5137010002,TH:PPF,PINTHONG INDUSTRIAL PARK PROPERTY,PPF
352,TH4263010001,TH:PPP,PREMIER PRODUCTS,PPP
353,TH0435010Y09,TH:PPPM,PP PRIME,PPPM
354,TH8794010000,TH:PR9,PRARAM 9 HOSPITAL,PR9
355,TH0248A10Z05,TH:PRAKIT,PRAKIT HOLDINGS,PRAKIT
356,TH0871010003,TH:PREB,PRE-BUILT,PREB
357,TH0548A10Z02,TH:PRECHA,PREECHA GROUP,PRECHA
358,TH0366010Z05,TH:PRG,PATUM RICE MILL & GRNY.,PRG
359,TH0839B10Y00,TH:PRIME,PRIME ROAD POWER,PRIME
360,TH0865010001,TH:PRIN,PRINSIRI,PRIN
361,TH0862010Y04,TH:PRINC,PRINCIPAL CAPITAL,PRINC
362,TH8170010004,TH:PRM,PRIMA MARINE,PRM
363,TH7595010003,TH:PSH,PRUKSA HOLDING,PSH
364,TH0363010Z02,TH:PSL,PRECIOUS SHIPPING,PSL
365,TH0229010Z05,TH:PT,PREMIER TECHNOLOGY,PT
366,TH4547010009,TH:PTG,PTG ENERGY,PTG
367,TH0815010002,TH:PTL,POLYPLEX (THAILAND),PTL
368,TH0646010Z00,TH:PTT,PTT,PTT
369,TH0355A10Z04,TH:PTTEP,PTT EXPLORATION & PRDN.,PTTEP
370,TH1074010006,TH:PTTGC,PTT GLOBAL CHEMICAL,PTTGC
371,TH0885010Z04,TH:PYLON,PYLON,PYLON
372,TH0760010007,TH:QCON,QUALITY CON.PRDS.,QCON
373,TH0256A10Z04,TH:QH,QUALITY HOUSES,QH
374,TH3601010004,TH:QHHR,QLT.HSE.HLRS.FH &. LH PROP,QHHR
375,TH0974010009,TH:QHOP,QUALITY HOSPITALITY LEASEHOLD PROPERTY,QHOP
376,TH0931010001,TH:QHPF,QUALITY HOUSES LEASEHOLD PROPERTY FU,QHPF
377,TH0259010Z02,TH:RAM,RAMKHAMHAENG HOSPITAL,RAM
378,TH0637010Y00,TH:RATCH,RATCH GROUP PCL,RATCH
379,TH9451010002,TH:RBF,R & B FOOD SUPPLY,RBF
380,TH0155010Z02,TH:RCI,ROYAL CERAMIC IND.,RCI
381,TH0133010Z09,TH:RCL,REGIONAL CONTAINERS LIN.,RCL
382,TH5712010005,TH:RICHY,RICHY PLACE 2002,RICHY
383,TH7398010002,TH:RJH,RAJTHANEE HOSPITAL PUBLIC,RJH
384,TH0364010Y01,TH:RML,RAIMON LAND,RML
385,TH0416010005,TH:ROCK,ROCKWORTH,ROCK
386,TH0149010009,TH:ROH,ROYAL ORCHID HTL.(THAI.),ROH
387,TH0477010Y01,TH:ROJNA,ROJANA INDUSTRIAL PARK,ROJNA
388,TH0750010Y01,TH:RPC,RPCG,RPC
389,TH7757010007,TH:RPH,RATCHAPHRUEK HOSPITAL,RPH
390,TH0705B10Z00,TH:RS,RS,RS
391,TH8289010002,TH:RSP,RICH SPORT,RSP
392,TH0123010Z00,TH:S&J,S & J INTL.ENTERPRISES,S&J
393,TH6268010001,TH:S11,S11 GROUP,S11
394,TH0940010Y08,TH:S,SINGHA ESTATE,S
395,TH0976010Z01,TH:SABINA,SABINA,SABINA
396,TH0786010Z04,TH:SAM,SAMCHAI STEEL INDS.,SAM
397,TH0374010Z09,TH:SAMART,SAMART,SAMART
398,TH0349010Z01,TH:SAMCO,SAMMAKORN,SAMCO
399,TH0594010Z02,TH:SAMTEL,SAMART TELCOMS,SAMTEL
400,TH5614010004,TH:SAPPE,SAPPE,SAPPE
401,TH0823010002,TH:SAT,SOMBOON ADVANCE TECH.,SAT
402,TH0460010Z06,TH:SAUCE,THAITHEPAROS,SAUCE
403,TH5456010Y00,TH:SAWAD,SRISAWAD CORPORATION,SAWAD
404,TH0242010005,TH:SAWANG,SAWANG EXPORT,SAWANG
405,TH1038010001,TH:SBPF,SAMUI BURI PROPERTY FUND,SBPF
406,TH0747A10Z01,TH:SC,SC ASSET,SC
407,TH0015010000,TH:SCB,SIAM COMMERCIAL BANK,SCB
408,TH0003010Z04,TH:SCC,SIAM CEMENT,SCC
409,TH0021010Z06,TH:SCCC,SIAM CITY CEMENT,SCCC
410,TH0762010005,TH:SCG,SAHACOGEN(CHONBURI),SCG
411,TH6809010007,TH:SCI,SCI ELECTRIC,SCI
412,TH6285010000,TH:SCN,SCAN INTER,SCN
413,TH0240010Z02,TH:SCP,SOUTHERN CONCRETE PILE,SCP
414,TH0756010Y08,TH:SDC,SAMART DIGITAL ORS,SDC
415,TH0253010Z05,TH:SEED,SE-EDUCATION,SEED
416,TH0780010Z07,TH:SEAFCO,SEAFCO,SEAFCO
417,TH9233010Z08,TH:SEG,THAI GROUP HOLDINGS,SEG
418,TH1011010002,TH:SENA,SENA DEVELOPMENT,SENA
419,TH0699010003,TH:SF,SIAM FUTURE DEVELOPMENT,SF
420,TH9554010008,TH:SFLEX,STARFLEX,SFLEX
421,TH0080010000,TH:SFP,SIAM FOOD PRODUCTS,SFP
422,TH0979A10Z00,TH:SGP,SIAMGAS AND PETROCHEM.,SGP
423,TH0203010Z00,TH:SHANG,SHANGRI-LA HOTEL,SHANG
424,TH9460010001,TH:SHR,S HOTELS AND RESORTS,SHR
425,TH8372010000,TH:SHREIT,STGC.HOSPLTY. EXTENDABLE FREE&LEASE,SHREIT
426,TH0298010Z00,TH:SIAM,SIAM STEEL INTL.,SIAM
427,TH0073A10Z05,TH:SINGER,SINGER THAILAND,SINGER
428,TH0577C10Z04,TH:SIRI,SANSIRI,SIRI
429,TH5374010004,TH:SIRIP,SIRI PRIME OFFICE PROPERTY,SIRIP
430,TH0776010009,TH:SIS,SIS DS.(THAILAND),SIS
431,TH8859010002,TH:SISB,SISB,SISB
432,TH0266A10Z02,TH:SITHAI,SRITHAI SUPERWARE,SITHAI
433,TH8309010008,TH:SKE,SAKOL ENERGY,SKE
434,TH8177010007,TH:SKN,S KIJCHAI ENTERPRISE,SKN
435,TH0105A10Z07,TH:SKR,SIKARIN,SKR
436,TH6414010004,TH:SLP,SALEE PRINTING,SLP
437,TH0843010008,TH:SMIT,SAHAMIT MACHINERY,SMIT
438,TH0239A10Z06,TH:SMK,SYN MUN KONG,SMK
439,TH0273010Z03,TH:SMPC,SAHAMITR PRESSURE CTNR.,SMPC
440,TH1015A10Z04,TH:SMT,STARS MICROELECTRONICS,SMT
441,TH0800010Z03,TH:SNC,SNC FORMER,SNC
442,TH0146B10Z07,TH:SNP,S & P SYNDICATE,SNP
443,TH0831010002,TH:SOLAR,SOLARTRON,SOLAR
444,TH0345010Y00,TH:SORKON,S KHONKAEN FOODS,SORKON
445,TH0768010Z02,TH:SPACK,S PACK & PRINT,SPACK
446,TH0371010Z05,TH:SPALI,SUPALAI,SPALI
447,TH0035010Z06,TH:SPC,SAHA PATHANAPIBUL,SPC
448,TH0889010Y07,TH:SPCG,SPCG,SPCG
449,TH0929010005,TH:SPF,SAMUI AIRPORT PROPERTY (LEASEHOLD),SPF
450,TH0613010Z00,TH:SPG,SIAM PAN GROUP,SPG
451,TH0027010Z03,TH:SPI,SAHA PATH.INTER-HOLDING,SPI
452,TH6838010002,TH:SPRC,STAR PTL.REFN.,SPRC
453,TH8934010001,TH:SPRIME,S PRIME GROWTH LEASEHOLD REIT,SPRIME
454,TH7539010002,TH:SQ,SAHAKOL EQUIPMENT,SQ
455,TH3443010006,TH:SRICHA,SRIRACHA CONSTRUCTION,SRICHA
456,TH7662010001,TH:SRIPANWA,SRI PANWA HOSPLTY. REIT. TST.,SRIPANWA
457,TH0009010Y02,TH:SSC,SERMSUK,SSC
458,TH0159A10Z02,TH:SSF,SURAPON FOODS,SSF
459,TH8206010002,TH:SSP,SERMSANG POWER CORPORATION,SSP
460,TH1004010001,TH:SSPF,SALA @ SATHORN PROPERTY,SSPF
461,TH0547010Z00,TH:SSSC,SIAM STEEL SERVICE CTR.,SSSC
462,TH0092010Y08,TH:SST,SUB SRI THAI,SST
463,TH8380010000,TH:SSTRT,SUB SRI THAI REAL ESTATE INVESTMENT TRUST,SSTRT
464,TH0254A10Z06,TH:STA,SRI TRANG AGRO-INDUSTRY,STA
465,TH0233010Z07,TH:STANLY,THAI STANLEY ELECTRIC,STANLY
466,TH0832010Z06,TH:STARK,STARK CORPORATION,STARK
467,TH0307010Z09,TH:STEC,SINO-THAI ENGR.CON.,STEC
468,TH9829010007,TH:STGT,SRI TRANG GLOVES (THAILAND),STGT
469,TH0566B10Z08,TH:STPI,STP & I,STPI
470,TH0010010005,TH:SUC,SAHA-UNION,SUC
471,TH0833010Y05,TH:SUPER,SUPER ENERGY CORPORATION,SUPER
472,TH9294010003,TH:SUPEREIF,SUPER ENERGY POWER PLANT INFRASTRUCTURE,SUPEREIF
473,TH0202B10Z08,TH:SUSCO,SUSCO,SUSCO
474,TH5047010001,TH:SUTHA,GOLDEN LIME,SUTHA
475,TH0190010007,TH:SVH,SAMITIVEJ,SVH
476,TH0152A10Z09,TH:SVI,SVI,SVI
477,TH0365010Z07,TH:SVOA,SVOA,SVOA
478,TH1044010003,TH:SYMC,SYMPHONY COMMUNICATION,SYMC
479,TH0981010000,TH:SYNEX,SYNNEX (THAILAND),SYNEX
480,TH0357010Z04,TH:SYNTEC,SYNTEC CONSTRUCTION,SYNTEC
481,TH3548010000,TH:TAE,THAI AGRO ENERGY,TAE
482,TH0219010Z06,TH:TASCO,TIPCO ASPHALT,TASCO
483,TH0476010Y03,TH:TBSP,TBSP,TBSP
484,TH0178A10Z09,TH:TC,TROPICAL CANNING,TC
485,TH0083B10Z02,TH:TCAP,THANACHART CAPITAL,TCAP
486,TH0226A10Z01,TH:TCC,THAI CAPITAL,TCC
487,TH0267010Z05,TH:TCCC,THAI CENTRAL CHM.,TCCC
488,TH0542010002,TH:TCJ,TCJ ASIA,TCJ
489,TH0036010Y05,TH:TCMC,TCM CORPORATION ORS,TCMC
490,TH0401010002,TH:TCOAT,THAI COATING INDL.,TCOAT
491,TH0640010003,TH:TEAM,TEAM PRECISION,TEAM
492,TH8601010003,TH:TEAMG,TEAM CNSL.ENGR.&. MAN.,TEAMG
493,TH7642010006,TH:TFFIF,THAILAND FUTURE,TFFIF
494,TH6717010008,TH:TFG,THAIFOODS GROUP,TFG
495,TH0175A10Y03,TH:TFI,THAI FILM INDUSTRIES,TFI
496,TH8223010001,TH:TFMAMA,THAI PRESIDENT FOODS,TFMAMA
497,TH0466B10Z09,TH:TGPRO,THAI-GERMAN PRODUCTS,TGPRO
498,TH0236A10Y00,TH:TH,TONG HUA HOLDING,TH
499,TH0245010002,TH:THAI,THAI AIRWAYS INTL.,THAI
500,TH0697010Z03,TH:THANI,RATCHTHANI LEASING,THANI
501,TH0380010Y07,TH:THCOM,THAICOM,THCOM
502,TH0949B10Z06,TH:THE,STEEL,THE
503,TH7923010006,TH:THG,THONBURI HEALTHCARE GROUP,THG
504,TH0449010Z09,TH:THIP,THANTAWAN INDUSTRY,THIP
505,TH0322010Z08,TH:THRE,THAI REINSURANCE,THRE
506,TH4846010007,TH:THREL,THAIRE LIFE ASSURANCE,THREL
507,TH0848010003,TH:TIF1,THAI INDUSTRIAL 1,TIF1
508,TH0588010Z04,TH:TIP,DHIPAYA INSURANCE,TIP
509,TH0154010Y06,TH:TIPCO,TIPCO FOODS,TIPCO
510,TH0999010Z03,TH:TISCO,TISCO FINANCIAL GROUP,TISCO
511,TH0318010004,TH:TIW,THAILAND IRON WORKS,TIW
512,TH0736010008,TH:TK,THITIKORN,TK
513,TH6927010004,TH:TKN,TAOKAENOI FOOD & MKTG.,TKN
514,TH0749A10Z09,TH:TKS,TKS TECHNOLOGIES,TKS
515,TH0779010006,TH:TKT,T KRUNGTHAI INDUSTRIES,TKT
516,TH3226010009,TH:TLGF,TESCO LOTUS RET.GW. FH. &.LH.,TLGF
517,TH6024010006,TH:TLHPF,THAILAND HOSPITALITY PROPERTY,TLHPF
518,TH0068010Z07,TH:TMB,TMB BANK,TMB
519,TH0165010Z01,TH:TMD,THAI METAL DRUM,TMD
520,TH0826010Y09,TH:TMT,TMT STEEL,TMT
521,TH0695010007,TH:TNITY,TRINITY WATTHANA,TNITY
522,TH0089010Z03,TH:TNL,THANULUX,TNL
523,TH0287010Z03,TH:TNPC,THAI NAM PLASTICS,TNPC
524,TH1057010007,TH:TNPF,TRINITY FHLH.PR.FUND,TNPF
525,TH7618010006,TH:TNR,THAI NIPPON RUBBER INDUSTRY,TNR
526,TH8193010007,TH:TOA,TOA PAINT THAILAND,TOA
527,TH0899010001,TH:TOG,THAI OPTICAL GROUP,TOG
528,TH0796010005,TH:TOP,THAI OIL,TOP
529,TH0228010003,TH:TOPP,THAI OPP,TOPP
530,TH0457010Z02,TH:TPA,THAI POLY ACRYLIC,TPA
531,TH7114010005,TH:TPBI,TPBI,TPBI
532,TH0090010Z01,TH:TPCORP,TEXTILE PRESTIGE,TPCORP
533,TH0212A10Z07,TH:TPIPL,TPI POLENE,TPIPL
534,TH7534010007,TH:TPIPP,TPI POLENE POWER,TPIPP
535,TH0988010003,TH:TPOLY,THAI POLYCONS,TPOLY
536,TH0205010000,TH:TPP,THAI PACK.AND PRINT.,TPP
537,TH7549010000,TH:TPRIME,THAI.PRI.PR.FHLH. REIT,TPRIME
538,TH8878010009,TH:TQM,TQM CORPORATION,TQM
539,TH0075010Z02,TH:TR,THAI RAYON,TR
540,TH0890A10Z06,TH:TRC,TRC CONSTRUCTION,TRC
541,TH0470010Y06,TH:TRITN,TRITON HOLDING,TRITN
542,TH0454A10Z04,TH:TRU,THAI RUNG UNION CAR,TRU
543,TH0249010Y04,TH:TRUBB,THAI RUBBER LATEX GROUP,TRUBB
544,TH0375010Z06,TH:TRUE,TRUE CORPORATION,TRUE
545,TH0847010004,TH:TSC,THAI STEEL CABLE,TSC
546,TH5976010006,TH:TSE,THAI SOLAR ENERGY,TSE
547,TH0220A10Z07,TH:TSI,THAI SETAKIJ IN.,TSI
548,TH5536010009,TH:TSR,THIENSURAT,TSR
549,TH0195A10Z08,TH:TSTE,THAI SUGAR TERMINAL,TSTE
550,TH0692010000,TH:TSTH,TATA STEEL (THAILAND),TSTH
551,TH0535010Z05,TH:TTA,THORESEN THAI AG.,TTA
552,TH1002010Y06,TH:TTCL,TTCL,TTCL
553,TH0103010003,TH:TTI,THAI TEXTILE,TTI
554,TH1039010000,TH:TTLPF,TALAAD THAI LEASEHOLD PROPERTY,TTLPF
555,TH9264010009,TH:TTT,TORAY TEXTILES,TTT
556,TH0961010Y04,TH:TTW,THAI TAP WATER SUPPLY,TTW
557,TH0926010008,TH:TUPF,T U DOME RESD.CMX. LH. PR.,TUPF
558,TH0450010Y08,TH:TU,THAI UNION GROUP,TU
559,TH0311010Z01,TH:TVI,THAIVIVAT INSURANCE,TVI
560,TH0209010Z07,TH:TVO,THAI VEGETABLE OIL,TVO
561,TH0163010Z06,TH:TWP,THAI WIRE PRODUCTS,TWP
562,TH6820010002,TH:TWPC,THAI WAH,TWPC
563,TH0867010Z02,TH:TWZ,TWZ,TWZ
564,TH0754A10Z01,TH:TYCN,TYCOONS WORLDWIDE GROUP,TYCN
565,TH0329C10Z05,TH:U,U CITY,U
566,TH1040010Y06,TH:UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,UAC
567,TH0160010Z02,TH:UMI,UNION MOSAIC,UMI
568,TH0933010009,TH:UNIQ,UNIQUE ENGR.AND CON.,UNIQ
569,TH0870010004,TH:UOBKH,UOB KAY HIAN SECURITIES,UOBKH
570,TH0029010004,TH:UP,UNION PLASTIC,UP
571,TH0031010000,TH:UPF,UNION PIONEER FABRIC,UPF
572,TH0227010Z09,TH:UPOIC,UNITED PALM OIL IND.,UPOIC
573,TH0956010001,TH:URBNPF,URBANA PROPERTY (LEASE HOLD),URBNPF
574,TH0059010007,TH:UT,UNION TEXTILE INDUSTRIES,UT
575,TH0818010Z05,TH:UTP,UNITED PAPER,UTP
576,TH0136010Z02,TH:UV,UNIVENTURES,UV
577,TH0748010Z04,TH:UVAN,UNIVANICH PALM OIL,UVAN
578,TH0251010Z09,TH:VARO,VAROPAKORN,VARO
579,TH3740010Y09,TH:VGI,VGI,VGI
580,TH0295A10Z07,TH:VIBHA,VIBHAVADI MEDICAL,VIBHA
581,TH3394010005,TH:VIH,SRIVICHAI VEJVIVAT,VIH
582,TH0533010Z00,TH:VNG,VANACHAI GROUP,VNG
583,TH0475010Z04,TH:VNT,VINYTHAI,VNT
584,TH6052010001,TH:VPO,VICHITBHAN PALMOIL,VPO
585,TH9132010009,TH:VRANDA,VERANDA RESORT,VRANDA
586,TH0753010Z04,TH:W,WOW FACTOR,W
587,TH0069010Z05,TH:WACOAL,THAI WACOAL,WACOAL
588,TH0397A10Z04,TH:WAVE,WAVE ENTERTAINMENT,WAVE
589,TH0050010006,TH:WG,WHITE GROUP,WG
590,TH3871010Z01,TH:WHA,WHA,WHA
591,TH6900010005,TH:WHABT,WHA BUS.CMX.FH.&. LH. REIT,WHABT
592,TH6141010004,TH:WHART,WHA PRUM.GW.FH.&. LH. REIT,WHART
593,TH7846010Z09,TH:WHAUP,WHA UTILITIES AND POWER,WHAUP
594,TH6651010006,TH:WICE,WICE LOGISTICS,WICE
595,TH0549010Y07,TH:WIIK,WIIK,WIIK
596,TH0188010Y04,TH:WIN,WYNCOAST INDUSTRIAL PARK,WIN
597,TH0788010005,TH:WORK,WORKPOINT ENTERTAINMENT,WORK
598,TH6073010Z01,TH:WP,WP ENERGY,WP
599,TH8220010004,TH:WPH,WATTANAPAT HOSPITAL TRANG,WPH
600,TH8962010006,TH:ZEN,ZEN CORPORATION,ZEN
601,TH0472B10Z01,TH:ZMICO,SEAMICO SECURITIES,ZMICO
